,Age,Attrition,Department,EducationField,Gender,EmployeeCount,YearsAtCompany,JobRole,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
70,33,No,Sales,Life Sciences,Male,1,7,Research Scientist,2.0,4.0,2.0,3,3
71,47,No,Research & Development,Life Sciences,Female,1,3,Healthcare Representative,4.0,3.0,3.0,4,4
72,43,No,Research & Development,Medical,Female,1,9,Research Director,3.0,3.0,4.0,3,3
73,27,No,Research & Development,Life Sciences,Male,1,5,Research Director,3.0,2.0,3.0,3,3
74,54,No,Research & Development,Life Sciences,Male,1,4,Research Scientist,4.0,3.0,2.0,3,3
75,43,No,Research & Development,Life Sciences,Female,1,1,Manager,3.0,1.0,2.0,3,4
76,45,No,Sales,Marketing,Female,1,10,Sales Executive,4.0,4.0,3.0,3,3
77,40,No,Research & Development,Other,Male,1,4,Research Scientist,2.0,4.0,2.0,3,3
78,29,Yes,Research & Development,Medical,Female,1,7,Research Scientist,2.0,1.0,2.0,3,3
79,29,No,Human Resources,Medical,Male,1,3,Sales Representative,2.0,4.0,3.0,3,4
80,30,No,Research & Development,Life Sciences,Male,1,10,Research Scientist,4.0,3.0,3.0,2,3
81,27,No,Research & Development,Medical,Male,1,8,Manager,2.0,2.0,3.0,2,3
82,37,No,Sales,Life Sciences,Male,1,6,Healthcare Representative,4.0,4.0,2.0,3,3
83,38,No,Research & Development,Medical,Male,1,11,Laboratory Technician,3.0,4.0,3.0,3,3
84,31,No,Research & Development,Medical,Female,1,11,Manager,3.0,4.0,0.0,3,3
85,29,No,Research & Development,Life Sciences,Male,1,7,Sales Executive,4.0,2.0,3.0,3,3
86,35,No,Sales,Technical Degree,Male,1,16,Manager,3.0,2.0,3.0,4,3
87,23,No,Research & Development,Life Sciences,Male,1,4,Manufacturing Director,3.0,4.0,2.0,2,4
88,41,No,Research & Development,Life Sciences,Female,1,5,Laboratory Technician,4.0,2.0,3.0,3,3
89,47,No,Sales,Medical,Female,1,0,Laboratory Technician,2.0,3.0,3.0,4,3
90,42,No,Research & Development,Life Sciences,Male,1,1,Manager,1.0,4.0,3.0,1,4
91,29,No,Sales,Marketing,Male,1,4,Human Resources,4.0,3.0,2.0,2,4
92,42,No,Sales,Medical,Male,1,3,Research Scientist,3.0,3.0,3.0,2,3
93,32,No,Research & Development,Medical,Male,1,8,Research Scientist,3.0,2.0,3.0,3,3
94,48,No,Sales,Medical,Male,1,0,Sales Executive,1.0,3.0,1.0,2,3
95,37,No,Research & Development,Technical Degree,Male,1,7,Manufacturing Director,3.0,1.0,3.0,3,3
96,30,No,Sales,Other,Male,1,2,Healthcare Representative,4.0,3.0,4.0,3,4
97,26,No,Sales,Medical,Female,1,8,Laboratory Technician,3.0,3.0,3.0,3,3
98,42,No,Sales,Medical,Female,1,1,Laboratory Technician,1.0,4.0,3.0,3,3
99,21,Yes,Research & Development,Medical,Female,1,3,Manufacturing Director,1.0,2.0,3.0,2,3
100,36,No,Human Resources,Human Resources,Male,1,1,Laboratory Technician,4.0,4.0,3.0,1,4
101,36,No,Research & Development,Life Sciences,Female,1,13,Research Scientist,1.0,4.0,3.0,3,3
102,57,No,Research & Development,Life Sciences,Male,1,3,Research Scientist,4.0,3.0,3.0,1,3
103,40,No,Research & Development,Other,Male,1,7,Sales Executive,4.0,3.0,3.0,3,3
104,21,No,Research & Development,Life Sciences,Female,1,3,Manager,1.0,4.0,2.0,1,3
105,33,Yes,Human Resources,Human Resources,Female,1,1,Manager,4.0,3.0,3.0,1,4
106,37,No,Research & Development,Life Sciences,Male,1,5,Research Scientist,3.0,1.0,3.0,4,3
107,46,No,Sales,Marketing,Female,1,1,Laboratory Technician,3.0,3.0,4.0,3,3
108,41,Yes,Research & Development,Medical,Female,1,8,Research Scientist,1.0,2.0,3.0,4,3
109,50,No,Research & Development,Medical,Female,1,4,Laboratory Technician,4.0,4.0,3.0,3,3
110,40,Yes,Research & Development,Medical,Female,1,6,Healthcare Representative,3.0,3.0,3.0,2,4
111,31,No,Research & Development,Life Sciences,Male,1,2,Human Resources,0.0,2.0,3.0,3,4
112,21,Yes,Human Resources,Human Resources,Male,1,1,Laboratory Technician,3.0,2.0,3.0,3,3
113,29,No,Research & Development,Life Sciences,Female,1,3,Research Director,4.0,4.0,3.0,4,3
114,35,No,Research & Development,Life Sciences,Female,1,1,Sales Executive,3.0,2.0,3.0,3,3
115,27,No,Sales,Life Sciences,Male,1,5,Sales Executive,4.0,2.0,3.0,3,3
116,28,No,Research & Development,Medical,Male,1,7,Manager,2.0,4.0,3.0,2,3
117,49,No,Sales,Technical Degree,Male,1,5,Manufacturing Director,2.0,3.0,3.0,3,3
118,51,No,Research & Development,Life Sciences,Male,1,7,Sales Executive,3.0,4.0,2.0,3,4
119,36,No,Sales,Life Sciences,Male,1,2,Sales Executive,4.0,3.0,3.0,3,3
120,34,Yes,Research & Development,Life Sciences,Male,1,5,Sales Representative,1.0,4.0,2.0,3,4
121,55,No,Sales,Marketing,Male,1,5,Laboratory Technician,3.0,4.0,3.0,3,3
122,24,No,Research & Development,Life Sciences,Female,1,5,Manager,4.0,3.0,4.0,3,3
123,30,No,Research & Development,Life Sciences,Female,1,1,Manager,3.0,2.0,3.0,3,3
124,26,Yes,Sales,Life Sciences,Male,1,6,Manager,3.0,0.0,3.0,3,3
125,22,No,Research & Development,Other,Male,1,2,Research Scientist,1.0,2.0,3.0,2,3
126,36,No,Research & Development,Medical,Female,1,10,Healthcare Representative,2.0,3.0,3.0,3,3
127,30,Yes,Sales,Marketing,Male,1,1,Research Scientist,3.0,4.0,3.0,2,3
128,37,No,Research & Development,Technical Degree,Male,1,18,Sales Executive,4.0,1.0,2.0,3,3
129,40,No,Research & Development,Medical,Male,1,5,Research Scientist,4.0,2.0,3.0,2,3
130,42,No,Research & Development,Medical,Female,1,5,Manager,2.0,1.0,3.0,2,3
131,37,No,Sales,Marketing,Male,1,1,Sales Executive,3.0,2.0,2.0,2,3
132,43,No,Sales,Life Sciences,Female,1,25,Sales Executive,1.0,2.0,3.0,3,3
133,40,No,Sales,Life Sciences,Female,1,1,Laboratory Technician,2.0,3.0,3.0,2,3
134,54,No,Human Resources,Life Sciences,Female,1,4,Manufacturing Director,1.0,1.0,2.0,2,4
135,34,No,Research & Development,Medical,Male,1,3,Laboratory Technician,3.0,3.0,3.0,3,4
136,31,No,Research & Development,Life Sciences,Male,1,13,Sales Executive,2.0,1.0,1.0,2,3
137,43,No,Sales,Life Sciences,Female,1,3,Manufacturing Director,4.0,4.0,3.0,2,3
138,43,No,Sales,Life Sciences,Male,1,5,Sales Representative,3.0,3.0,3.0,3,3
139,25,No,Human Resources,Human Resources,Male,1,5,Manufacturing Director,2.0,4.0,3.0,4,3
140,37,No,Research & Development,Medical,Male,1,13,Laboratory Technician,2.0,3.0,3.0,2,4
141,31,No,Research & Development,Medical,Male,1,4,Laboratory Technician,4.0,1.0,3.0,3,3
142,39,No,Research & Development,Technical Degree,Female,1,21,Sales Executive,2.0,3.0,3.0,1,4
143,56,No,Research & Development,Life Sciences,Female,1,7,Sales Executive,3.0,1.0,2.0,3,3
144,30,No,Sales,Medical,Female,1,5,Manufacturing Director,2.0,3.0,3.0,3,3
145,41,No,Research & Development,Technical Degree,Female,1,10,Research Scientist,2.0,1.0,3.0,2,3
146,28,No,Research & Development,Medical,Male,1,10,Healthcare Representative,3.0,1.0,3.0,2,3
147,25,Yes,Research & Development,Life Sciences,Female,1,2,Laboratory Technician,1.0,1.0,3.0,3,3
148,52,No,Research & Development,Life Sciences,Female,1,5,Sales Representative,4.0,3.0,3.0,2,4
149,45,No,Research & Development,Medical,Female,1,2,Sales Executive,1.0,4.0,2.0,3,3
150,52,No,Research & Development,Medical,Male,1,5,Research Scientist,4.0,4.0,1.0,3,3
151,42,No,Sales,Marketing,Female,1,5,Healthcare Representative,1.0,3.0,3.0,2,3
152,30,No,Sales,Marketing,Male,1,5,Sales Executive,3.0,4.0,3.0,3,4
153,60,No,Research & Development,Life Sciences,Female,1,29,Manufacturing Director,1.0,1.0,1.0,3,3
154,46,No,Sales,Marketing,Female,1,10,Sales Executive,3.0,3.0,2.0,2,3
155,42,No,Research & Development,Technical Degree,Male,1,6,Sales Executive,4.0,4.0,4.0,3,3
156,24,Yes,Research & Development,Medical,Male,1,5,Research Scientist,1.0,2.0,3.0,2,3
157,34,Yes,Research & Development,Medical,Male,1,2,Research Scientist,4.0,3.0,2.0,3,4
158,38,No,Sales,Marketing,Female,1,1,Sales Executive,4.0,4.0,3.0,3,3
159,40,No,Sales,Marketing,Female,1,20,Sales Executive,3.0,3.0,3.0,2,3
160,26,No,Research & Development,Medical,Female,1,3,Healthcare Representative,1.0,4.0,1.0,4,4
161,30,No,Research & Development,Medical,Female,1,5,Sales Executive,3.0,4.0,1.0,2,3
162,29,No,Research & Development,Medical,Female,1,10,Manufacturing Director,2.0,3.0,3.0,3,3
163,29,Yes,Research & Development,Life Sciences,Male,1,2,Research Scientist,3.0,2.0,4.0,2,3
164,19,Yes,Research & Development,Medical,Male,1,1,Sales Executive,1.0,4.0,4.0,3,3
165,30,No,Research & Development,Life Sciences,Female,1,9,Research Scientist,3.0,1.0,3.0,3,3
166,57,No,Research & Development,Life Sciences,Male,1,1,Research Scientist,1.0,4.0,2.0,3,3
167,50,No,Sales,Life Sciences,Female,1,27,Manager,2.0,3.0,3.0,3,3
168,30,No,Sales,Life Sciences,Male,1,11,Laboratory Technician,3.0,4.0,2.0,3,4
169,60,No,Research & Development,Life Sciences,Female,1,18,Laboratory Technician,3.0,1.0,4.0,3,4
170,47,No,Research & Development,Technical Degree,Male,1,5,Manufacturing Director,1.0,4.0,3.0,2,3
171,46,No,Sales,Technical Degree,Male,1,3,Laboratory Technician,1.0,3.0,1.0,2,4
172,35,No,Research & Development,Medical,Female,1,5,Laboratory Technician,4.0,3.0,3.0,3,3
173,54,No,Research & Development,Medical,Male,1,1,Human Resources,3.0,3.0,3.0,3,3
174,34,No,Sales,Life Sciences,Male,1,7,Laboratory Technician,4.0,3.0,3.0,4,3
175,46,No,Research & Development,Life Sciences,Male,1,3,Healthcare Representative,3.0,4.0,3.0,2,3
176,31,No,Research & Development,Life Sciences,Male,1,13,Research Director,3.0,2.0,4.0,3,3
177,33,Yes,Research & Development,Life Sciences,Female,1,7,Research Director,2.0,3.0,4.0,2,4
178,33,Yes,Sales,Marketing,Male,1,4,Research Director,1.0,4.0,3.0,3,4
179,30,No,Research & Development,Life Sciences,Male,1,3,Sales Executive,4.0,2.0,3.0,3,3
180,35,No,Research & Development,Medical,Female,1,8,Sales Representative,4.0,3.0,3.0,1,4
181,31,Yes,Research & Development,Medical,Female,1,1,Sales Executive,1.0,3.0,3.0,2,3
182,34,Yes,Sales,Marketing,Male,1,3,Research Director,2.0,1.0,3.0,4,4
183,42,No,Research & Development,Medical,Female,1,2,Research Scientist,2.0,3.0,3.0,2,3
184,36,No,Research & Development,Medical,Male,1,10,Research Scientist,2.0,4.0,2.0,3,3
185,22,Yes,Research & Development,Medical,Female,1,2,Laboratory Technician,3.0,3.0,3.0,3,3
186,48,No,Research & Development,Medical,Male,1,9,Laboratory Technician,2.0,4.0,3.0,3,3
187,55,No,Research & Development,Medical,Female,1,10,Sales Executive,1.0,2.0,3.0,3,3
188,41,No,Research & Development,Life Sciences,Female,1,14,Research Scientist,4.0,4.0,3.0,2,3
189,35,No,Research & Development,Medical,Female,1,11,Sales Representative,2.0,3.0,3.0,2,3
190,40,No,Research & Development,Life Sciences,Female,1,20,Laboratory Technician,2.0,3.0,3.0,3,3
191,39,No,Research & Development,Medical,Male,1,8,Research Scientist,3.0,3.0,3.0,3,3
192,31,No,Research & Development,Life Sciences,Male,1,6,Research Director,2.0,4.0,4.0,2,3
193,42,No,Research & Development,Medical,Male,1,10,Sales Executive,4.0,1.0,2.0,3,3
194,45,No,Research & Development,Medical,Female,1,8,Sales Executive,4.0,2.0,4.0,3,4
195,26,Yes,Research & Development,Life Sciences,Female,1,7,Laboratory Technician,0.0,3.0,2.0,3,3
196,29,No,Research & Development,Medical,Male,1,3,Research Scientist,4.0,4.0,4.0,2,3
197,33,No,Research & Development,Medical,Female,1,6,Laboratory Technician,1.0,3.0,3.0,3,3
198,31,No,Research & Development,Life Sciences,Female,1,5,Sales Executive,3.0,4.0,2.0,3,3
199,18,Yes,Research & Development,Technical Degree,Male,1,0,Sales Executive,2.0,2.0,3.0,4,3
200,40,No,Research & Development,Technical Degree,Female,1,1,Laboratory Technician,3.0,1.0,3.0,2,3
201,41,No,Research & Development,Life Sciences,Male,1,8,Manufacturing Director,1.0,3.0,3.0,2,3
202,26,No,Research & Development,Medical,Male,1,0,Healthcare Representative,1.0,3.0,3.0,2,3
203,35,No,Research & Development,Medical,Male,1,5,Human Resources,1.0,3.0,3.0,2,3
204,34,No,Research & Development,Medical,Male,1,10,Laboratory Technician,4.0,4.0,3.0,2,3
205,26,Yes,Sales,Marketing,Female,1,1,Manufacturing Director,3.0,4.0,1.0,1,4
206,37,No,Research & Development,Life Sciences,Male,1,6,Sales Executive,2.0,4.0,4.0,3,3
207,46,No,Research & Development,Medical,Male,1,2,Human Resources,1.0,3.0,2.0,3,3
208,41,No,Research & Development,Life Sciences,Male,1,18,Research Director,2.0,1.0,3.0,3,3
209,37,No,Research & Development,Medical,Male,1,9,Sales Executive,1.0,2.0,3.0,3,3
210,52,No,Sales,Medical,Male,1,10,Laboratory Technician,4.0,1.0,3.0,3,3
211,32,Yes,Research & Development,Life Sciences,Female,1,4,Research Director,4.0,3.0,3.0,2,4
212,24,No,Sales,Life Sciences,Female,1,2,Healthcare Representative,4.0,4.0,3.0,2,3
213,38,No,Research & Development,Life Sciences,Female,1,1,Research Scientist,3.0,3.0,3.0,3,3
214,37,No,Research & Development,Technical Degree,Female,1,6,Research Scientist,2.0,2.0,2.0,3,3
215,49,No,Sales,Life Sciences,Male,1,31,Sales Executive,4.0,3.0,3.0,1,3
216,24,No,Sales,Marketing,Female,1,6,Sales Executive,2.0,4.0,3.0,2,3
217,26,No,Research & Development,Technical Degree,Female,1,5,Sales Executive,1.0,2.0,4.0,3,3
218,24,No,Sales,Medical,Female,1,1,Laboratory Technician,4.0,2.0,3.0,1,3
219,50,No,Sales,Marketing,Male,1,32,Sales Executive,1.0,2.0,3.0,3,3
220,25,No,Research & Development,Life Sciences,Male,1,7,Research Scientist,2.0,3.0,3.0,2,3
221,24,Yes,Research & Development,Medical,Male,1,6,Research Scientist,1.0,3.0,3.0,3,4
222,30,Yes,Research & Development,Other,Male,1,1,Healthcare Representative,2.0,1.0,4.0,3,3
223,34,No,Sales,Life Sciences,Male,1,6,Research Director,2.0,4.0,3.0,3,3
224,31,Yes,Research & Development,Medical,Female,1,3,Sales Representative,2.0,1.0,1.0,2,3
225,35,No,Research & Development,Life Sciences,Female,1,3,Sales Executive,1.0,4.0,3.0,3,3
226,31,No,Sales,Marketing,Female,1,7,Sales Executive,1.0,4.0,4.0,3,3
227,27,No,Sales,Medical,Male,1,5,Sales Representative,1.0,3.0,2.0,3,3
228,37,No,Sales,Marketing,Female,1,3,Laboratory Technician,4.0,3.0,2.0,3,3
229,20,No,Research & Development,Medical,Female,1,1,Sales Representative,4.0,2.0,4.0,1,3
230,42,No,Research & Development,Life Sciences,Female,1,10,Manufacturing Director,3.0,4.0,3.0,3,3
231,43,No,Research & Development,Technical Degree,Female,1,1,Sales Executive,2.0,4.0,2.0,3,3
232,38,No,Human Resources,Medical,Male,1,0,Human Resources,3.0,1.0,2.0,4,3
233,43,No,Sales,Medical,Female,1,8,Healthcare Representative,4.0,3.0,3.0,3,3
234,48,No,Research & Development,Medical,Male,1,3,Laboratory Technician,4.0,1.0,1.0,4,3
235,44,No,Sales,Marketing,Male,1,2,Sales Executive,1.0,3.0,4.0,4,4
236,34,No,Research & Development,Life Sciences,Female,1,8,Laboratory Technician,3.0,3.0,3.0,2,4
237,27,Yes,Sales,Life Sciences,Male,1,4,Research Scientist,3.0,1.0,3.0,3,3
238,21,No,Sales,Life Sciences,Male,1,3,Sales Executive,3.0,3.0,3.0,1,3
239,44,No,Research & Development,Life Sciences,Male,1,2,Laboratory Technician,4.0,4.0,4.0,3,3
240,22,No,Research & Development,Medical,Female,1,2,Laboratory Technician,1.0,3.0,3.0,2,3
241,33,No,Sales,Marketing,Female,1,5,Manufacturing Director,3.0,3.0,3.0,3,3
242,32,No,Research & Development,Life Sciences,Female,1,6,Healthcare Representative,1.0,4.0,2.0,3,3
243,30,No,Research & Development,Technical Degree,Male,1,1,Manager,3.0,3.0,3.0,3,3
244,53,No,Research & Development,Other,Female,1,14,Manager,4.0,1.0,4.0,2,3
245,34,No,Research & Development,Medical,Male,1,10,Research Scientist,2.0,4.0,2.0,3,3
246,45,Yes,Research & Development,Life Sciences,Male,1,1,Research Director,1.0,1.0,3.0,3,3
247,26,No,Research & Development,Life Sciences,Male,1,3,Manufacturing Director,3.0,4.0,3.0,4,3
248,37,No,Research & Development,Medical,Male,1,10,Manager,3.0,3.0,3.0,2,3
249,29,No,Research & Development,Life Sciences,Female,1,6,Healthcare Representative,2.0,3.0,2.0,3,3
250,35,No,Research & Development,Medical,Female,1,17,Laboratory Technician,2.0,4.0,3.0,3,3
251,33,No,Research & Development,Technical Degree,Male,1,13,Laboratory Technician,3.0,4.0,1.0,3,4
252,54,No,Research & Development,Life Sciences,Female,1,9,Sales Executive,3.0,2.0,4.0,2,3
253,36,No,Research & Development,Life Sciences,Male,1,3,Research Scientist,2.0,2.0,3.0,2,3
254,27,No,Sales,Marketing,Male,1,4,Research Director,1.0,4.0,3.0,1,3
255,20,Yes,Research & Development,Life Sciences,Male,1,1,Sales Representative,4.0,3.0,3.0,2,3
256,33,Yes,Research & Development,Medical,Female,1,10,Laboratory Technician,1.0,1.0,3.0,3,3
257,35,No,Research & Development,Medical,Male,1,1,Research Scientist,3.0,3.0,3.0,4,3
258,23,No,Research & Development,Life Sciences,Male,1,3,Healthcare Representative,1.0,1.0,4.0,3,3
259,25,No,Research & Development,Medical,Male,1,3,Manufacturing Director,4.0,2.0,3.0,3,3
260,38,No,Research & Development,Life Sciences,Male,1,7,Research Scientist,4.0,4.0,3.0,2,4
261,29,No,Sales,Life Sciences,Male,1,10,Healthcare Representative,2.0,4.0,3.0,2,3
262,48,No,Research & Development,Technical Degree,Male,1,2,Sales Executive,2.0,2.0,3.0,4,3
263,27,No,Sales,Technical Degree,Male,1,6,Laboratory Technician,4.0,4.0,3.0,3,3
264,37,No,Research & Development,Life Sciences,Male,1,1,Manager,4.0,4.0,3.0,4,3
265,50,No,Sales,Medical,Male,1,20,Laboratory Technician,4.0,3.0,3.0,4,3
266,34,No,Research & Development,Medical,Male,1,8,Healthcare Representative,4.0,2.0,4.0,3,4
267,24,Yes,Research & Development,Life Sciences,Female,1,2,Healthcare Representative,1.0,3.0,3.0,1,3
268,39,No,Research & Development,Medical,Female,1,20,Sales Representative,4.0,3.0,3.0,3,3
269,32,No,Research & Development,Life Sciences,Male,1,10,Research Scientist,4.0,4.0,2.0,1,3
270,50,Yes,Research & Development,Medical,Male,1,4,Sales Representative,2.0,3.0,3.0,2,3
271,38,No,Research & Development,Life Sciences,Male,1,9,Sales Executive,2.0,4.0,2.0,2,3
272,27,No,Research & Development,Medical,Male,1,9,Research Scientist,3.0,1.0,3.0,2,4
273,32,No,Sales,Medical,Male,1,7,Sales Executive,3.0,4.0,0.0,3,3
274,47,No,Research & Development,Medical,Female,1,7,Sales Executive,4.0,1.0,3.0,3,3
275,40,No,Research & Development,Medical,Female,1,18,Human Resources,4.0,1.0,3.0,3,3
276,53,No,Research & Development,Life Sciences,Male,1,5,Laboratory Technician,3.0,3.0,3.0,3,3
277,41,No,Sales,Medical,Male,1,21,Sales Executive,2.0,4.0,2.0,3,4
278,60,No,Research & Development,Life Sciences,Female,1,2,Laboratory Technician,1.0,1.0,3.0,4,4
279,27,No,Research & Development,Life Sciences,Male,1,9,Manufacturing Director,4.0,1.0,2.0,2,3
280,41,No,Research & Development,Medical,Male,1,22,Manufacturing Director,4.0,3.0,3.0,3,3
281,50,No,Sales,Life Sciences,Male,1,2,Research Scientist,4.0,2.0,3.0,4,4
282,28,Yes,Sales,Life Sciences,Male,1,7,Research Scientist,1.0,2.0,3.0,2,3
283,36,No,Research & Development,Technical Degree,Female,1,8,Research Scientist,1.0,1.0,3.0,3,3
284,38,No,Research & Development,Medical,Female,1,1,Manager,3.0,3.0,4.0,3,3
285,44,No,Research & Development,Life Sciences,Male,1,5,Research Scientist,1.0,3.0,3.0,2,3
286,47,No,Research & Development,Life Sciences,Male,1,22,Research Scientist,4.0,3.0,2.0,2,4
287,30,No,Research & Development,Life Sciences,Male,1,8,Sales Executive,3.0,4.0,2.0,3,3
288,29,No,Research & Development,Medical,Female,1,1,Sales Executive,3.0,3.0,3.0,3,3
